"name","acres","counties_affected","archiveyear"
"Forest Fire","50","1","2019"
"Tarina Fire","2950","1","2018"
"Dersch Fire","33","1","2013"
"Oak Fire","53","1","2019"
"Lobo Fire (Wind Complex)","821","1","2017"
"Romero Fire","68","1","2018"
"Parrots Fire","136","1","2018"
"Long Fire","2","1","2019"
"Bogus Fire","56","1","2017"
"Border 9 Fire","80","1","2019"
"Irish Fire","825","1","2018"
"Sharp Fire","243","1","2013"
"King Fire","135","2","2017"
"Honey Fire","150","1","2017"
"North Fire","4250","2","2015"
"Soboba Fire","25","1","2018"
"Gun Fire","125","1","2014"
"Fiddler Fire","441","2","2016"
"Wilson Fire","261","1","2018"
"Lucy Fire","150","1","2017"
"Paskenta Fire","195","1","2013"
"Coyote Fire","97","1","2013"
"Sand Fire","70","1","2017"
"Poslin Fire","859","1","2017"
"Saratoga Fire","100","1","2014"
"Silverwood Fire","75","1","2013"
"Ranch Fire","70","1","2014"
"Deer Fire","95","1","2015"
"Grant Fire","211","1","2016"
"California Fire","124","1","2013"
"Sand Fire","0","1","2016"
"Corral Fire","155","1","2017"
"Chorro Fire","282","1","2015"
"Border Fire","130","1","2017"
"Colby Fire","1952","1","2014"
"Castaic Fire","30","1","2017"
"Soberanes Fire","132127","1","2016"
"Prairie Fire","69","1","2015"
"Grapefruit Fire","60","1","2015"
"Kyburz Fire","75","1","2015"
"Nacimiento Fire","20","1","2017"
"Heart Fire","67","1","2018"
"Miller Fire","34","1","2017"
"Dinely Fire","339","1","2017"
"King Fire","97717","1","2014"
"Ruth Complex","4736","1","2017"
"Concord Fire","274","1","2013"
"Tassajara Fire","1086","1","2015"
"French Fire","136","1","2017"
"DeWolf Fire","278","1","2016"
"Union Fire","116","1","2013"
"Adobe Fire (Central LNU Complex)","1868","1","2017"
"Vineyard Fire","25","1","2018"
"Mockingbird Fire","20","1","2016"
"Agua Fire","59","1","2018"
"Nuevo Fire","28","2","2017"
"Mills Fire","534","1","2013"
"Stony Fire","75","1","2018"
"Johnson Fire","16","1","2018"
"Foothill Fire","69","1","2016"
"Horse Fire","146","1","2015"
"Fox Fire","260","1","2018"
"Platina Fire","21","1","2017"
"Bottle Fire","62","1","2017"
"Elk Fire","63","1","2019"
"Bridge Fire","11","1","2019"
"Edison Fire","20","1","2016"
"Aukum Fire","25","1","2016"
"Grade Fire","60","1","2018"
"Ridge Fire","36","1","2018"
"Milpas Fire","81","1","2019"
"3-16 Fire","89","1","2018"
"Holy Fire","150","1","2016"
"Sliger Fire","150","1","2018"
"Pacific Fire","12","1","2017"
"Pleyto Fire","32","1","2017"
"241 Fire","214","1","2015"
"Yellow Fire","125","1","2013"
"99 Fire","550","1","2016"
"Rocky Fire","17","1","2017"
"Wildomar Fire","866","1","2017"
"Wilcox Fire","33","1","2018"
"Cobble Fire","108","1","2018"
