"name","counties","archiveyear"
"Rim Fire","Tuolumne","2013"
"Powerhouse Fire","Los Angeles","2013"
"Mountain Fire","Riverside","2013"
"American Fire","Placer","2013"
"Springs Fire","Ventura","2013"
"Aspen Fire","Fresno","2013"
"Silver Fire","Riverside","2013"
"Salmon River Complex","Siskiyou","2013"
"Corral Complex","Humboldt","2013"
"Deer Fire","Tehama","2013"
"Clover Fire","Shasta","2013"
"Chariot Fire","San Diego","2013"
"Panther Fire","Tehama","2013"
"Grand Fire","Kern","2013"
"Grand Fire","Ventura","2013"
"McCabe Fire","Sonoma","2013"
"Summit Fire","Riverside","2013"
"Morgan Fire","Contra Costa","2013"
"San Felipe Fire","San Diego","2013"
"Wheeler Fire","Ventura","2013"
"Swedes Fire","Butte","2013"
"DeLuz Fire","San Diego","2013"
"Fish Fire","Tulare","2013"
"White Fire","Santa Barbara","2013"
"Carstens Fire","Mariposa","2013"
"Falls Fire","Riverside","2013"
"General Fire","San Diego","2013"
"Power Fire","Tuolumne","2013"
"Pfeiffer Fire","Monterey","2013"
"Shirley Fire","Kern","2013"
"Rancho Fire","Kern","2013"
"Lake Fire","Los Angeles","2013"
"Water Fire","Kern","2013"
"Kyburz Fire","El Dorado","2013"
"Mills Fire","San Bernardino","2013"
"Plumas Lightning Complex (Hough)","Plumas","2013"
"Gorgonio Fire","Riverside","2013"
"Fox Fire (formally 3-7 Fire)","Modoc","2013"
"Branch Fire","San Luis Obispo","2013"
"Kirker Fire","Contra Costa","2013"
"Rolling Fire","Madera","2013"
"Gobblers Fire","San Bernardino","2013"
"River Fire","Inyo","2013"
"Putah Fire","Napa","2013"
"Tres Pinos Fire","San Benito","2013"
"Jurupa Fire","Riverside","2013"
"Summit Fire","Butte","2013"
"Shelton Fire","San Joaquin","2013"
"Lone Fire","Butte","2013"
"Becks Fire","Lake","2013"
"Concord Fire","Contra Costa","2013"
"Gold Fire","Madera","2013"
"Madre Fire","Los Angeles","2013"
"Lyon Fire","San Diego","2013"
"Sharp Fire","San Bernardino","2013"
"Vasco Fire","Alameda","2013"
"PFE Fire","Placer","2013"
"Daves Fire","Glenn","2013"
"306 Fire","Glenn","2013"
"Tassajara Fire","Monterey","2013"
"Sierra Fire","San Bernardino","2013"
"Vina Fire","Tehama","2013"
"Burney Lightning Series (Warner Fire)","Shasta","2013"
"Paskenta Fire","Tehama","2013"
"Silverado Fire","Napa","2013"
"Olive Fire","Santa Barbara","2013"
"Capay Fire","Yolo","2013"
"50 Fire","El Dorado","2013"
"50 Fire","Sacramento","2013"
"Crane Fire","Sonoma","2013"
"Lakeville Fire","Sonoma","2013"
"Highland Fire","Alameda","2013"
"Redlands Fire","Riverside","2013"
"Diablo Fire","Stanislaus","2013"
"George Fire","Fresno","2013"
"Neal Fire","Butte","2013"
"Magic Fire","Los Angeles","2013"
"Angora Fire","Tulare","2013"
"Yellow Fire","Sonoma","2013"
"California Fire","Solano","2013"
"152 Fire","Merced","2013"
"Smiley Fire","Riverside","2013"
"Cantwell Fire","Lake","2013"
"Union Fire","El Dorado","2013"
"Cleghorn Fire","San Bernardino","2013"
"Clinton Fire","Fresno","2013"
"Freeman Fire","Monterey","2013"
"Bee Fire","Los Angeles","2013"
"Murphy Fire","Tuolumne","2013"
"Border Fire","San Diego","2013"
"Highland Fire","Mendocino","2013"
"Davis Creek Complex","Modoc","2013"
"Little Fire","San Bernardino","2013"
"Coyote Fire","Lassen","2013"
"Roadrunner Fire","Amador","2013"
"Creek Fire","San Luis Obispo","2013"
"Branch Fire","Butte","2013"
"Lilly 2 Fire","Madera","2013"
"Water Fire","Riverside","2013"
"Adelaida Fire","San Luis Obispo","2013"
"Retek Fire","Mendocino","2013"
"Centerville Fire","Butte","2013"
"Butte Fire","Fresno","2013"
"Tehama Fire","Tehama","2013"
"Silverwood Fire","San Bernardino","2013"
"Revis Fire","Madera","2013"
"Lytle Fire","San Bernardino","2013"
"Silverado Fire","Napa","2013"
"Liveoak Fire","San Bernardino","2013"
"McGanney Fire","Yuba","2013"
"Cedar Fire","Butte","2013"
"Double Fire","Lake","2013"
"Rail Fire","Modoc","2013"
"Tram Fire","Riverside","2013"
"Relay Fire","Riverside","2013"
"Tyler Fire","Nevada","2013"
"Toro Fire","San Luis Obispo","2013"
"Bruner Fire","Lake","2013"
"Cottonwood Fire","Siskiyou","2013"
